Gender,Age,City,Education,Occupation,Monthly_Income,IM_Usage_period,Experience,Bank,Source,Bank_Account_Type,Usage_Time,Distance,Service,TimeSaving,Easyness,UI_Design,Network_Connectivity,Cost_effective,Availabilty,Security,Comfortable,Awareness,Usage,Aware_Charges,Charges,Satifaction,Recommendation
Male,18 - 25,Trincomalee,Degree,Private Employee,"Above 200000",1-2 year,Beginner,Bank of Ceylon;NTB,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Yes,Okay,5,Yes
Male,31 - 40,Batticaloa,Degree,Govt Employee,"50,000- 100,000",More than two years,Experienced,Bank of Ceylon,Bank,Saving Account,Weekly-Once,1 to 2 km,All the above,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,No,,2,No
Male,18 - 25,Batticaloa,A/L,Student,,More than two years,Experienced,Peoples’ bank,Internet,Saving Account,Monthly-once,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Yes,Not care,4,Yes
Female,26 - 30,Colombo,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Commercial Bank,Bank,Both,Weekly-several times,Less than 1 km,All the above,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Yes,little high,4,Yes
Male,26 - 30,Batticaloa,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,NTB,Internet,Saving Account,Daily –Several times,,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Yes,Okay,4,Yes
Male,26 - 30,Colombo,A/L,Student,"Upto 50000",Up to 1 year,Intermediate,Peoples’ bank,Friend,Saving Account,Weekly-Once,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Yes,Not care,4,Yes
Male,26 - 30,Batticaloa,Diploma,Student,"Upto 50000",More than two years,Experienced,Commercial Bank,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Okay,5,Yes
Male,26 - 30,Colombo,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Bank of Ceylon;Peoples’ bank;Sampath bank;Hatton National Bank;NTB,Internet,Saving Account,Daily –Several times,Less than 1 km,All the above,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Yes,Not care,4,Yes
Male,26 - 30,Batticaloa,Degree,Govt Employee,"Upto 50000",1-2 year,Intermediate,Bank of Ceylon;NTB,Internet,Saving Account,Monthly-several times,2 to 5 km,All the above,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,little high,4,Yes
Male,26 - 30,Batticaloa,A/L,Govt Employee,"Upto 50000",Up to 1 year,Intermediate,Commercial Bank,Friend,Saving Account,Daily-once,More than 10 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Not care,4,Yes
Male,26 - 30,Batticaloa,Degree,Student,,More than two years,Experienced,Peoples’ bank,Bank,Saving Account,Monthly-several times,2 to 5 km,To get an account balance update,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Okay,3,Yes
Male,26 - 30,Colombo,Degree,Govt Employee,"50,000- 100,000",More than two years,Experienced,Bank of Ceylon;NTB,Bank,Saving Account,Weekly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Yes,Okay,4,Yes
Female,26 - 30,Batticaloa,Degree,Private Employee,"50,000- 100,000",Up to 1 year,Intermediate,Bank of Ceylon,Internet,Saving Account,Occasionally (less than once a month),Less than 1 km,All the above,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Yes,little high,4,Yes
Male,26 - 30,Colombo,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,Commercial Bank,Friend,Saving Account,Monthly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,No,,4,Yes
